edad_categoria,nivel_educacion,rango_ingreso,tipo_donante,frecuencia_donacion,canal_donacion,participacion_eventos,voluntariado,años_como_donante,monto_ultima_donacion,confianza_financiera,confianza_mision,confianza_transparencia,confianza_liderazgo,satisfaccion_comunicacion,satisfaccion_impacto,satisfaccion_reconocimiento,satisfaccion_general,satisfaccion_transparencia,conexion_emocional,identificacion_mision,orgullo_donante,compromiso_futuro,percepcion_impacto,percepcion_eficacia,donara_proximo_año
36-45,Secundaria,500k-1M,Individual,Semestral,Teletón anual,Nunca,Sí,2,406000,10,5,3,7,9,4,8,10,10,10,8,9,10,5,7,Sí
56-65,Universitario,<500k,Individual,Trimestral,Teletón anual,Nunca,No,0,896000,5,10,1,8,9,1,6,9,7,5,8,9,10,7,9,No
36-45,Postgrado,500k-1M,Empresa,Mensual,Teletón anual,Nunca,Sí,11,333000,9,7,6,6,8,10,6,3,5,8,7,10,3,9,5,Sí
56-65,Universitario,<500k,Individual,Primera vez,Teletón anual,Nunca,No,0,65000,5,5,7,10,5,6,5,4,7,1,10,7,10,7,10,No
46-55,Universitario,1M-2M,Individual,Primera vez,Otro,Nunca,No,0,29000,9,1,9,9,3,5,10,4,4,8,8,7,1,8,4,No
46-55,Postgrado,2M-4M,Individual,Trimestral,Web,Nunca,No,2,12000,6,8,5,8,7,6,7,9,10,6,9,3,10,4,10,Sí
56-65,Técnico,<500k,Individual,Anual,Presencial,1 vez,No,2,88000,9,8,10,10,7,1,3,8,6,8,7,4,8,8,7,No
36-45,Técnico,2M-4M,Individual,Anual,Transferencia,1 vez,No,5,425000,8,10,6,1,9,1,6,10,5,10,8,7,10,10,3,No
26-35,Universitario,500k-1M,Individual,Semestral,Teletón anual,Nunca,No,0,37000,8,5,4,10,8,10,7,6,10,8,7,10,10,10,9,No
18-25,Técnico,500k-1M,Individual,Semestral,Transferencia,Nunca,No,4,3000,4,10,10,10,10,2,10,5,8,6,9,9,10,8,5,Sí
46-55,Universitario,<500k,Individual,Mensual,Teletón anual,1 vez,No,7,112000,4,10,10,10,9,4,9,4,8,8,7,5,10,10,1,No
46-55,Postgrado,500k-1M,Individual,Mensual,Web,2-3 veces,Sí,8,163000,7,10,9,5,6,1,5,9,5,9,8,5,9,8,1,No
46-55,Técnico,1M-2M,Individual,Semestral,Teletón anual,Nunca,No,1,7000,8,10,6,9,3,2,10,3,9,10,8,9,7,9,5,Sí
26-35,Técnico,1M-2M,Empresa,Anual,Otro,Nunca,No,10,62000,6,8,2,10,10,7,7,6,10,8,7,5,8,7,10,No
26-35,Universitario,<500k,Individual,Trimestral,Teletón anual,Nunca,No,5,62000,5,10,7,10,10,8,9,7,10,5,10,10,10,6,10,Sí
18-25,Técnico,<500k,Individual,Primera vez,Teletón anual,Nunca,No,0,86000,7,8,7,4,3,10,4,6,9,9,5,7,10,5,5,No
36-45,Universitario,500k-1M,Individual,Primera vez,Otro,Nunca,No,0,46000,7,8,5,8,9,10,1,7,7,10,5,6,4,7,6,No
46-55,Técnico,500k-1M,Individual,Trimestral,Teletón anual,Nunca,Sí,4,19000,7,10,1,10,8,6,4,10,7,6,9,10,8,7,6,Sí
36-45,Universitario,<500k,Individual,Primera vez,Transferencia,1 vez,Sí,0,169000,8,7,2,1,6,10,1,7,10,10,5,9,4,3,5,No
36-45,Secundaria,500k-1M,Individual,Primera vez,Transferencia,Nunca,No,0,31000,4,10,10,1,9,3,10,7,5,7,6,6,1,4,4,No
56-65,Universitario,1M-2M,Empresa,Primera vez,Presencial,Nunca,Sí,0,3800000,6,7,10,10,9,10,6,1,1,10,5,6,4,6,9,Sí
36-45,Técnico,2M-4M,Empresa,Trimestral,Otro,Nunca,No,1,11658000,10,1,6,10,8,10,5,2,9,9,8,5,10,9,8,No
36-45,Universitario,500k-1M,Individual,Anual,Otro,Nunca,No,2,8000,7,10,9,6,8,6,8,9,1,5,8,2,9,7,9,No
56-65,Secundaria,2M-4M,Individual,Semestral,Teletón anual,Nunca,No,2,4000,8,10,1,5,8,6,7,6,10,10,7,6,10,7,4,Sí
36-45,Universitario,500k-1M,Empresa,Primera vez,Presencial,Nunca,No,0,470000,10,2,10,1,5,10,7,7,1,5,8,10,10,4,7,No
46-55,Universitario,500k-1M,Fundación,Semestral,Web,2-3 veces,No,1,6855000,5,10,10,3,7,9,9,6,6,5,4,10,9,7,1,Sí
56-65,Técnico,<500k,Empresa,Semestral,Web,Nunca,No,9,12750000,9,5,10,10,5,10,6,6,5,6,6,9,10,10,9,No
66+,Secundaria,1M-2M,Individual,Anual,Teletón anual,1 vez,No,0,227000,10,6,1,5,6,1,5,10,10,10,7,5,5,8,8,No
26-35,Secundaria,4M+,Individual,Anual,Transferencia,2-3 veces,No,5,105000,7,5,10,9,6,10,9,7,4,6,5,10,6,4,6,No
56-65,Universitario,1M-2M,Individual,Primera vez,Otro,Nunca,No,0,56000,8,6,4,1,5,6,8,10,9,10,3,5,10,4,10,Sí
36-45,Universitario,500k-1M,Individual,Mensual,Presencial,Nunca,Sí,2,29000,6,10,10,10,7,10,7,7,4,10,7,10,1,8,2,Sí
26-35,Universitario,1M-2M,Individual,Semestral,Web,Nunca,No,0,27000,6,7,10,2,6,10,10,1,4,10,9,4,10,7,9,No
36-45,Técnico,<500k,Individual,Mensual,Teletón anual,2-3 veces,No,1,14000,8,3,7,7,8,6,6,8,7,7,10,5,3,7,9,No
66+,Técnico,2M-4M,Empresa,Anual,Teletón anual,2-3 veces,No,7,573000,9,9,3,1,4,10,5,10,9,8,7,5,3,6,5,No
36-45,Universitario,500k-1M,Individual,Semestral,Presencial,1 vez,No,10,30000,10,7,9,1,7,10,8,5,1,3,9,5,10,8,7,No
36-45,Universitario,500k-1M,Empresa,Semestral,Transferencia,Nunca,No,1,283000,10,9,5,5,7,7,6,8,5,9,9,5,7,7,3,No
46-55,Postgrado,500k-1M,Individual,Semestral,Web,1 vez,No,3,4000,7,8,6,2,6,10,8,2,8,7,10,8,6,7,1,No
26-35,Secundaria,1M-2M,Individual,Mensual,Teletón anual,Nunca,No,3,21000,9,1,6,10,7,8,5,1,8,10,7,5,10,6,5,No
18-25,Universitario,<500k,Individual,Anual,Web,Nunca,No,9,34000,7,10,1,1,4,8,6,8,10,10,4,1,10,9,5,No
26-35,Técnico,1M-2M,Empresa,Primera vez,Web,Nunca,No,0,194000,8,10,1,1,7,10,10,5,8,4,7,10,10,6,9,No
26-35,Técnico,<500k,Individual,Semestral,Otro,Nunca,No,3,104000,8,4,10,5,8,4,6,5,1,7,6,3,7,8,7,No
26-35,Universitario,1M-2M,Individual,Semestral,Web,1 vez,No,5,48000,8,10,7,3,8,7,5,7,6,9,6,10,5,5,8,No
26-35,Universitario,1M-2M,Fundación,Anual,Teletón anual,Nunca,No,8,4808000,8,10,6,2,9,10,9,4,6,5,7,9,9,10,3,No
46-55,Postgrado,1M-2M,Individual,Primera vez,Web,Nunca,Sí,0,130000,3,10,10,1,6,5,4,6,3,9,6,10,7,9,3,No
26-35,Secundaria,500k-1M,Individual,Anual,Teletón anual,Nunca,No,2,252000,5,8,6,6,8,1,6,5,9,8,8,10,5,4,7,Sí
36-45,Secundaria,500k-1M,Individual,Anual,Otro,2-3 veces,Sí,11,178000,8,3,10,7,7,10,8,6,5,7,9,8,8,6,5,No
56-65,Universitario,<500k,Individual,Anual,Teletón anual,1 vez,No,6,88000,4,10,7,10,8,4,9,10,4,10,7,4,9,8,5,Sí
36-45,Universitario,1M-2M,Individual,Semestral,Web,Nunca,Sí,4,51000,9,3,10,8,4,10,9,10,1,5,8,10,10,5,8,No
46-55,Técnico,500k-1M,Individual,Semestral,Teletón anual,Nunca,No,3,15000,9,4,2,10,5,10,6,8,10,10,8,3,10,7,6,No
26-35,Secundaria,500k-1M,Individual,Primera vez,Transferencia,Nunca,No,0,122000,7,10,2,9,9,10,7,5,5,8,8,7,1,7,6,Sí
26-35,Secundaria,500k-1M,Individual,Anual,Transferencia,2-3 veces,Sí,3,375000,5,1,4,10,2,10,6,4,7,8,7,10,5,7,10,No
18-25,Postgrado,<500k,Individual,Primera vez,Transferencia,Nunca,No,0,75000,9,1,7,1,6,10,5,4,7,4,6,7,5,7,4,No
26-35,Técnico,1M-2M,Individual,Primera vez,Teletón anual,Nunca,No,0,499000,10,4,9,2,8,3,8,6,6,1,6,9,10,5,4,No
26-35,Técnico,<500k,Individual,Semestral,Teletón anual,Nunca,No,6,8000,8,7,6,10,7,10,6,6,9,5,7,9,10,3,10,Sí
26-35,Técnico,1M-2M,Individual,Trimestral,Teletón anual,Nunca,No,9,13000,9,10,5,4,6,10,8,10,7,10,6,8,8,9,8,No
18-25,Técnico,500k-1M,Individual,Anual,Transferencia,1 vez,Sí,1,140000,8,6,10,10,7,4,7,3,5,10,6,9,5,9,8,No
26-35,Secundaria,<500k,Individual,Semestral,Teletón anual,Nunca,No,3,69000,8,10,9,10,6,10,5,9,6,10,9,7,7,10,7,Sí
36-45,Universitario,500k-1M,Individual,Trimestral,Web,Nunca,No,2,242000,7,5,7,4,7,7,9,8,6,6,6,9,9,3,10,Sí
26-35,Secundaria,<500k,Empresa,Trimestral,Presencial,Nunca,No,5,5827000,7,7,10,5,6,2,8,6,5,10,7,5,5,9,6,Sí
36-45,Universitario,500k-1M,Individual,Primera vez,Presencial,Nunca,No,0,49000,8,1,1,1,8,8,2,4,10,3,8,8,2,3,10,No
36-45,Técnico,1M-2M,Empresa,Mensual,Web,2-3 veces,No,5,155000,10,9,10,1,10,5,8,6,5,5,7,6,2,10,3,No
46-55,Universitario,<500k,Fundación,Anual,Web,Nunca,No,9,895000,5,10,10,1,7,10,5,5,4,6,9,6,10,8,5,No
18-25,Postgrado,1M-2M,Individual,Anual,Teletón anual,2-3 veces,No,2,18000,7,10,8,8,4,6,9,10,10,6,6,8,10,5,10,Sí
56-65,Universitario,<500k,Individual,Primera vez,Transferencia,1 vez,No,0,39000,4,3,1,6,5,8,3,2,10,3,5,7,10,8,7,No
46-55,Universitario,<500k,Individual,Anual,Presencial,Nunca,Sí,22,8000,10,5,5,10,7,5,6,9,10,10,5,9,10,6,10,Sí
18-25,Técnico,1M-2M,Empresa,Primera vez,Teletón anual,Nunca,No,0,1506000,5,8,8,8,7,1,7,9,1,6,9,9,1,7,7,No
56-65,Técnico,500k-1M,Individual,Primera vez,Web,Nunca,No,0,13000,4,8,4,1,4,3,6,5,10,10,4,5,1,7,10,No
56-65,Universitario,<500k,Individual,Anual,Presencial,1 vez,No,14,161000,9,10,10,10,5,3,9,9,6,9,9,8,8,10,3,No
18-25,Postgrado,500k-1M,Individual,Trimestral,Presencial,Nunca,No,14,143000,10,8,9,8,8,7,4,6,3,10,6,7,7,10,10,Sí
26-35,Universitario,500k-1M,Empresa,Trimestral,Teletón anual,Nunca,No,0,216000,8,2,5,10,9,10,10,8,10,8,10,5,1,6,10,No
56-65,Universitario,1M-2M,Empresa,Anual,Web,Nunca,Sí,0,251000,8,10,4,1,6,1,8,8,10,10,10,9,7,9,3,Sí
46-55,Universitario,500k-1M,Individual,Trimestral,Teletón anual,1 vez,No,1,77000,8,10,3,9,4,10,10,7,6,5,4,10,7,8,8,No
26-35,Universitario,1M-2M,Individual,Trimestral,Teletón anual,Nunca,Sí,25,6000,10,2,9,10,10,1,9,3,8,10,6,9,3,5,8,No
26-35,Secundaria,2M-4M,Individual,Semestral,Presencial,Nunca,No,1,33000,6,4,7,10,9,8,7,1,10,9,9,8,6,6,6,Sí
36-45,Universitario,500k-1M,Individual,Primera vez,Presencial,Nunca,No,0,11000,6,4,10,10,5,3,3,9,1,10,7,3,1,10,1,No
36-45,Postgrado,2M-4M,Empresa,Semestral,Transferencia,Nunca,No,8,2345000,7,10,10,5,9,1,6,10,4,9,9,10,2,8,4,Sí
46-55,Secundaria,500k-1M,Individual,Mensual,Teletón anual,1 vez,No,0,205000,5,3,5,10,7,10,10,4,10,10,6,4,4,9,9,No
36-45,Universitario,2M-4M,Individual,Semestral,Presencial,Nunca,No,4,25000,7,6,1,10,9,3,10,5,8,4,10,3,10,7,10,No
36-45,Técnico,<500k,Individual,Anual,Web,1 vez,Sí,1,14000,9,7,5,9,7,5,6,10,5,8,8,10,5,6,8,No
46-55,Universitario,1M-2M,Empresa,Anual,Teletón anual,1 vez,No,9,283000,9,6,1,1,7,1,1,8,10,9,5,7,10,7,10,Sí
18-25,Secundaria,500k-1M,Empresa,Semestral,Web,Nunca,Sí,1,272000,8,7,6,9,7,10,7,9,10,10,7,7,1,7,10,No
26-35,Técnico,500k-1M,Individual,Anual,Teletón anual,1 vez,No,5,52000,8,3,10,2,4,10,6,4,6,8,5,7,5,4,10,Sí
46-55,Universitario,1M-2M,Empresa,Primera vez,Transferencia,Nunca,No,0,2735000,7,8,10,1,10,4,6,4,1,4,9,10,8,4,6,No
56-65,Técnico,1M-2M,Individual,Anual,Web,Nunca,No,1,23000,6,5,10,10,5,1,8,10,7,10,6,8,6,9,8,Sí
36-45,Universitario,<500k,Individual,Trimestral,Teletón anual,1 vez,No,0,297000,7,6,7,7,4,10,9,9,4,3,8,10,10,7,9,Sí
36-45,Universitario,<500k,Individual,Trimestral,Teletón anual,Nunca,Sí,2,21000,8,7,1,2,7,5,9,9,7,10,7,9,1,7,10,Sí
26-35,Postgrado,1M-2M,Individual,Primera vez,Teletón anual,Nunca,No,0,9000,7,4,6,6,4,5,7,4,5,5,5,8,10,7,9,Sí
36-45,Técnico,1M-2M,Individual,Mensual,Teletón anual,Nunca,No,7,4000,8,10,8,1,7,10,3,6,10,4,4,10,4,8,4,Sí
36-45,Técnico,2M-4M,Empresa,Anual,Web,2-3 veces,No,7,5490000,7,6,10,10,8,3,6,6,6,7,9,7,5,9,5,No
26-35,Secundaria,1M-2M,Individual,Semestral,Presencial,Nunca,No,3,48000,7,9,5,5,9,9,10,3,8,10,10,3,10,5,4,No
26-35,Postgrado,2M-4M,Individual,Semestral,Teletón anual,Nunca,No,4,25000,10,4,6,9,9,7,8,10,6,10,6,9,10,8,10,Sí
36-45,Postgrado,1M-2M,Individual,Trimestral,Teletón anual,Nunca,No,4,9000,9,1,3,10,6,9,8,1,8,10,5,8,10,9,6,No
18-25,Universitario,500k-1M,Individual,Mensual,Web,1 vez,No,8,208000,8,6,1,10,7,8,8,4,10,7,9,8,10,9,8,No
36-45,Universitario,<500k,Empresa,Anual,Presencial,1 vez,No,2,1315000,7,10,2,10,8,10,8,6,7,8,5,9,10,5,4,Sí
26-35,Universitario,1M-2M,Individual,Trimestral,Teletón anual,Nunca,No,1,111000,6,1,2,6,3,10,2,1,8,2,10,8,6,8,10,No
36-45,Universitario,1M-2M,Individual,Primera vez,Teletón anual,2-3 veces,No,0,48000,6,10,7,10,7,3,6,3,6,1,5,9,10,10,1,No
26-35,Secundaria,<500k,Empresa,Semestral,Web,Nunca,No,3,187000,8,10,2,10,4,10,7,10,5,9,6,7,7,7,10,Sí
56-65,Universitario,500k-1M,Individual,Semestral,Teletón anual,Nunca,No,3,257000,4,4,8,10,10,1,10,5,4,10,8,4,10,8,8,No
46-55,Secundaria,2M-4M,Individual,Semestral,Teletón anual,2-3 veces,No,3,111000,5,10,4,3,6,10,7,10,10,9,6,10,9,9,6,Sí
46-55,Universitario,500k-1M,Individual,Primera vez,Transferencia,2-3 veces,No,0,19000,5,6,1,10,6,10,3,9,10,9,5,2,7,4,7,No
56-65,Universitario,500k-1M,Individual,Trimestral,Web,1 vez,No,6,14000,8,10,10,2,5,9,8,9,3,10,8,10,8,10,4,Sí
36-45,Universitario,500k-1M,Fundación,Primera vez,Web,2-3 veces,No,0,712000,6,2,2,10,5,10,4,6,5,9,2,9,1,7,10,No
18-25,Secundaria,<500k,Empresa,Primera vez,Transferencia,Nunca,No,0,232000,9,8,1,1,10,2,4,6,10,4,9,2,10,7,6,No
36-45,Técnico,500k-1M,Individual,Semestral,Transferencia,2-3 veces,No,2,133000,5,10,3,10,9,1,5,3,6,5,8,8,6,4,6,No
46-55,Técnico,500k-1M,Empresa,Anual,Teletón anual,Nunca,No,1,564000,6,6,10,6,4,8,8,3,5,10,5,6,1,9,6,Sí
46-55,Técnico,<500k,Individual,Trimestral,Teletón anual,Nunca,Sí,4,80000,10,1,9,6,10,1,10,5,4,10,6,10,8,8,8,Sí
36-45,Secundaria,1M-2M,Individual,Anual,Teletón anual,Nunca,No,2,61000,8,1,6,9,9,2,8,6,8,4,9,6,10,10,9,No
26-35,Postgrado,500k-1M,Individual,Primera vez,Teletón anual,Nunca,No,0,18000,8,7,2,5,5,2,7,9,10,2,8,8,9,6,5,No
26-35,Universitario,1M-2M,Individual,Trimestral,Transferencia,Nunca,No,3,104000,10,7,10,8,8,5,8,5,1,10,10,6,6,5,7,No
36-45,Técnico,2M-4M,Individual,Anual,Presencial,Nunca,No,1,20000,6,10,7,10,7,5,7,10,7,6,6,6,4,6,8,No
46-55,Técnico,<500k,Individual,Primera vez,Otro,Nunca,No,0,44000,6,4,6,9,10,1,7,10,9,10,7,3,1,5,10,Sí
46-55,Técnico,1M-2M,Empresa,Semestral,Web,Nunca,No,10,809000,7,6,6,1,5,10,2,9,10,1,8,10,6,5,5,Sí
36-45,Universitario,500k-1M,Individual,Anual,Teletón anual,Nunca,No,3,284000,4,7,3,10,7,10,7,7,9,10,9,1,8,10,7,Sí
66+,Universitario,2M-4M,Individual,Anual,Teletón anual,Nunca,No,2,23000,7,10,6,1,6,8,5,7,8,7,10,8,10,10,4,Sí
46-55,Postgrado,<500k,Individual,Anual,Presencial,Nunca,No,0,8000,9,3,9,9,4,9,9,9,10,9,6,10,10,7,7,No
26-35,Universitario,1M-2M,Individual,Trimestral,Web,1 vez,No,3,14000,8,6,10,10,10,5,7,6,8,7,7,7,3,7,10,No
26-35,Postgrado,1M-2M,Individual,Trimestral,Web,2-3 veces,No,4,165000,9,1,1,9,5,8,7,7,10,10,6,7,3,4,9,No
26-35,Universitario,500k-1M,Individual,Semestral,Transferencia,1 vez,No,4,68000,7,8,2,9,7,6,4,10,8,10,7,10,2,9,9,No
26-35,Técnico,<500k,Empresa,Primera vez,Transferencia,Nunca,No,0,114000,5,4,5,5,3,7,8,5,10,3,8,5,1,9,8,No
26-35,Postgrado,1M-2M,Individual,Trimestral,Presencial,1 vez,No,1,43000,10,10,4,10,6,4,8,7,6,3,5,7,10,6,5,Sí
26-35,Secundaria,1M-2M,Individual,Semestral,Teletón anual,Nunca,Sí,1,27000,6,10,6,6,8,10,8,6,10,9,9,8,6,7,3,Sí
26-35,Universitario,500k-1M,Individual,Semestral,Transferencia,Nunca,No,7,90000,8,5,7,10,5,1,5,10,9,8,5,10,5,8,10,Sí
26-35,Técnico,1M-2M,Individual,Anual,Presencial,Nunca,No,13,18000,8,10,10,10,8,7,5,6,7,4,7,10,10,10,3,Sí
56-65,Universitario,500k-1M,Individual,Trimestral,Teletón anual,1 vez,No,1,72000,10,5,4,10,6,7,7,9,7,5,10,4,10,8,2,No
18-25,Universitario,1M-2M,Individual,Semestral,Web,Nunca,Sí,3,21000,9,1,10,5,9,10,6,5,3,8,8,10,5,8,10,No
36-45,Universitario,<500k,Individual,Primera vez,Teletón anual,Nunca,No,0,17000,4,7,10,10,9,6,7,2,8,7,7,9,9,7,3,No
36-45,Universitario,2M-4M,Individual,Anual,Otro,Nunca,No,0,23000,5,10,7,1,6,7,3,10,7,10,5,10,9,5,7,No
66+,Técnico,500k-1M,Individual,Trimestral,Teletón anual,2-3 veces,No,2,32000,8,6,10,2,7,8,6,7,3,10,6,7,7,5,10,No
26-35,Secundaria,500k-1M,Individual,Primera vez,Web,Nunca,No,0,47000,6,8,10,3,6,7,10,9,2,8,8,5,10,5,2,Sí
36-45,Técnico,<500k,Individual,Mensual,Teletón anual,Nunca,Sí,6,66000,7,9,10,10,8,1,8,8,5,9,6,10,5,9,3,No
66+,Secundaria,<500k,Empresa,Semestral,Transferencia,Nunca,No,3,1479000,9,10,1,10,7,3,7,10,10,8,7,10,5,7,6,No
56-65,Universitario,500k-1M,Individual,Semestral,Teletón anual,Nunca,No,1,1000,8,6,10,1,7,1,10,5,2,7,9,10,7,6,8,No
56-65,Técnico,500k-1M,Empresa,Primera vez,Teletón anual,1 vez,Sí,0,568000,6,9,10,3,6,2,1,8,3,6,5,10,1,5,5,No
26-35,Postgrado,1M-2M,Individual,Primera vez,Web,Nunca,No,0,19000,8,1,10,1,6,6,4,3,4,7,7,7,3,6,3,No
26-35,Universitario,<500k,Empresa,Mensual,Presencial,2-3 veces,No,1,38000,7,1,10,1,10,5,6,1,1,10,8,3,10,10,10,No
46-55,Universitario,500k-1M,Individual,Anual,Teletón anual,Nunca,No,4,31000,10,6,10,8,8,1,9,9,1,8,7,5,10,7,9,No
56-65,Secundaria,500k-1M,Individual,Semestral,Teletón anual,1 vez,No,2,304000,6,2,10,10,8,7,9,2,1,4,7,5,10,6,9,No
46-55,Universitario,<500k,Individual,Anual,Transferencia,Nunca,No,4,14000,9,5,10,6,8,9,5,8,1,9,6,7,2,7,7,Sí
46-55,Postgrado,<500k,Empresa,Primera vez,Web,Nunca,No,0,124000,9,4,10,10,6,4,8,9,7,3,5,10,1,10,6,No
26-35,Universitario,500k-1M,Individual,Primera vez,Presencial,Nunca,No,0,61000,4,10,7,1,7,4,5,6,6,8,7,5,1,5,10,No
46-55,Universitario,500k-1M,Individual,Anual,Teletón anual,Nunca,No,1,301000,7,10,1,3,5,7,9,10,10,9,6,10,8,5,5,No
26-35,Universitario,500k-1M,Individual,Mensual,Web,Nunca,Sí,1,10000,9,7,5,5,10,3,5,7,9,9,9,10,1,6,9,Sí
36-45,Secundaria,500k-1M,Empresa,Anual,Teletón anual,1 vez,No,3,235000,9,9,7,3,1,9,7,8,7,7,7,7,5,8,10,No
36-45,Universitario,500k-1M,Individual,Anual,Teletón anual,Nunca,Sí,5,80000,7,8,9,2,7,6,6,10,6,10,6,9,10,9,10,Sí
36-45,Técnico,<500k,Empresa,Anual,Transferencia,1 vez,No,1,448000,6,4,4,10,9,10,9,2,10,8,7,8,10,9,10,Sí
26-35,Secundaria,500k-1M,Individual,Anual,Web,1 vez,No,0,19000,9,9,1,4,4,8,6,10,10,5,7,9,7,5,8,Sí
26-35,Técnico,2M-4M,Individual,Anual,Transferencia,Nunca,Sí,3,27000,9,1,5,1,8,5,7,4,10,6,9,10,6,5,10,No
46-55,Secundaria,500k-1M,Individual,Trimestral,Teletón anual,1 vez,No,4,19000,5,10,10,5,6,8,8,5,6,10,7,4,10,7,1,Sí
26-35,Secundaria,1M-2M,Fundación,Anual,Web,1 vez,No,15,135000,6,2,10,2,6,5,8,7,1,7,7,7,10,9,10,Sí
46-55,Secundaria,500k-1M,Individual,Anual,Web,Nunca,No,4,21000,8,9,10,7,9,10,9,5,4,7,10,10,5,5,7,Sí
26-35,Postgrado,1M-2M,Empresa,Primera vez,Otro,1 vez,No,0,8506000,7,7,9,1,6,1,6,5,3,7,7,10,4,5,7,No
36-45,Universitario,1M-2M,Individual,Mensual,Teletón anual,Nunca,No,4,1311000,7,10,5,10,3,9,6,10,10,7,10,4,6,6,9,Sí
36-45,Postgrado,500k-1M,Individual,Primera vez,Teletón anual,Nunca,Sí,0,138000,7,1,1,10,4,10,5,1,7,4,9,3,3,8,5,No
18-25,Técnico,4M+,Individual,Primera vez,Teletón anual,1 vez,No,0,188000,5,4,5,10,8,2,6,2,4,2,5,9,7,7,7,No
36-45,Técnico,<500k,Individual,Semestral,Web,Nunca,No,2,90000,3,10,8,1,8,1,7,10,8,4,9,10,6,9,10,No
26-35,Universitario,<500k,Empresa,Anual,Teletón anual,Nunca,No,1,715000,6,10,5,10,10,5,7,4,8,7,10,7,2,10,6,Sí
18-25,Técnico,1M-2M,Empresa,Anual,Presencial,Nunca,No,1,142000,7,10,6,10,10,9,7,1,9,4,10,10,10,7,4,No
66+,Secundaria,1M-2M,Empresa,Anual,Teletón anual,1 vez,No,3,696000,7,2,10,7,6,9,4,8,10,6,9,9,9,5,10,Sí
36-45,Universitario,<500k,Individual,Semestral,Presencial,2-3 veces,No,6,7000,5,5,10,10,10,1,8,4,7,10,9,6,10,5,10,No
56-65,Técnico,500k-1M,Individual,Primera vez,Teletón anual,Nunca,No,0,80000,3,9,6,3,6,10,6,7,6,1,6,10,4,3,10,No
26-35,Universitario,<500k,Individual,Trimestral,Transferencia,1 vez,No,0,181000,6,6,1,1,5,7,9,7,6,6,6,8,1,6,10,No
46-55,Universitario,500k-1M,Fundación,Semestral,Presencial,2-3 veces,Sí,6,2443000,9,9,5,2,6,10,7,8,6,10,7,7,7,7,4,Sí
46-55,Secundaria,1M-2M,Individual,Anual,Teletón anual,Nunca,No,7,18000,10,4,8,10,2,10,4,5,8,8,5,10,4,9,9,Sí
46-55,Secundaria,500k-1M,Individual,Anual,Otro,Nunca,No,2,159000,9,2,10,1,10,1,6,10,1,4,10,8,6,7,4,No
36-45,Universitario,500k-1M,Individual,Primera vez,Web,1 vez,No,0,116000,5,10,3,6,9,4,6,2,10,10,6,10,1,5,7,No
36-45,Técnico,500k-1M,Individual,Semestral,Otro,1 vez,No,3,461000,5,10,10,6,5,2,8,10,6,7,10,10,5,7,7,Sí
36-45,Secundaria,<500k,Fundación,Anual,Transferencia,2-3 veces,No,10,1796000,9,10,6,2,7,10,3,10,8,8,5,10,10,5,4,Sí
56-65,Postgrado,500k-1M,Individual,Anual,Teletón anual,Nunca,Sí,8,30000,9,4,9,6,7,4,7,4,4,9,9,9,5,9,5,Sí
56-65,Secundaria,1M-2M,Individual,Anual,Teletón anual,Nunca,No,3,13000,8,8,10,3,5,10,8,6,7,5,7,10,4,6,10,Sí
66+,Universitario,4M+,Individual,Mensual,Teletón anual,Nunca,Sí,5,32000,4,3,8,8,3,10,6,9,4,8,5,9,10,5,10,No
26-35,Postgrado,1M-2M,Individual,Anual,Teletón anual,Nunca,No,10,280000,6,10,7,1,7,1,7,6,10,5,10,9,9,9,6,No
46-55,Técnico,<500k,Individual,Mensual,Teletón anual,Nunca,Sí,3,6000,7,10,6,9,6,3,6,8,10,6,9,7,1,8,10,No
66+,Secundaria,2M-4M,Individual,Anual,Teletón anual,1 vez,No,2,4000,8,1,7,10,6,10,6,6,10,8,8,10,10,4,9,Sí
26-35,Secundaria,1M-2M,Empresa,Primera vez,Web,Nunca,Sí,0,295000,8,5,7,10,6,10,5,5,1,10,7,9,10,8,5,No
18-25,Técnico,1M-2M,Empresa,Primera vez,Transferencia,1 vez,No,0,814000,6,2,5,5,9,10,5,1,7,8,7,10,1,5,10,No
46-55,Secundaria,500k-1M,Individual,Anual,Teletón anual,Nunca,No,2,56000,8,4,10,1,6,8,8,10,9,10,8,10,1,7,7,No
46-55,Universitario,500k-1M,Individual,Primera vez,Teletón anual,Nunca,Sí,0,29000,6,9,5,5,6,8,5,5,8,8,5,10,1,7,4,No
56-65,Secundaria,500k-1M,Empresa,Primera vez,Web,Nunca,No,0,1194000,7,10,6,10,7,3,4,7,3,7,6,7,5,7,1,No
26-35,Universitario,<500k,Individual,Trimestral,Teletón anual,Nunca,No,2,50000,8,7,4,10,8,4,10,8,7,7,10,5,10,8,5,Sí
56-65,Postgrado,<500k,Individual,Trimestral,Teletón anual,Nunca,No,1,155000,7,10,6,10,6,3,9,10,6,7,10,10,8,7,6,Sí
26-35,Universitario,<500k,Individual,Semestral,Teletón anual,2-3 veces,Sí,2,26000,7,8,6,10,7,8,3,10,6,7,10,10,10,6,9,Sí
26-35,Universitario,500k-1M,Individual,Primera vez,Otro,1 vez,No,0,5000,6,7,8,8,7,1,4,2,9,4,7,8,10,7,4,Sí
26-35,Técnico,1M-2M,Individual,Primera vez,Presencial,Nunca,No,0,581000,7,1,7,7,4,10,6,7,1,7,6,10,10,6,10,No
